# "Top 500 'Greatest' Novels (1021-2015)" [https://www.responsible-datasets-in-context.com/posts/top-500-novels/top-500-novels.html] by "Responsible Datasets in Context" [https://www.responsible-datasets-in-context.com/team.html], used under CC BY 4.0 [http://creativecommons.org/licenses/by/4.0/] / Some columns deleted
top_500_rank,title,author,pub_year,orig_lang,genre,author_field_of_activity,author_occupation,wiki_url,pg_eng_url
110,The Two Towers,J.R.R. Tolkien,1954,English,fantasy,"poetry,philology,novels,fiction,fantasy fiction,english literature,education higher","poets,philologists,novelists,college teachers,authors",https://en.wikipedia.org/wiki/The_Two_Towers,NA_not-pub-domain
111,The War of the Worlds,H.G. Wells,1898,English,scifi,science fiction,authors,https://en.wikipedia.org/wiki/The_War_of_the_Worlds,https://www.gutenberg.org/cache/epub/36/pg36.txt
112,Middlemarch,George Eliot,1872,English,na,"novels,fiction","translators,poets,novelists,journalists",https://en.wikipedia.org/wiki/Middlemarch,https://www.gutenberg.org/cache/epub/145/pg145.txt
113,The Age of Innocence,Edith Wharton,1920,English,na,"novels,fiction","novelists,designers,authors",https://en.wikipedia.org/wiki/The_Age_of_Innocence,https://www.gutenberg.org/cache/epub/541/pg541.txt
114,The Color Purple,Alice Walker,1982,English,na,,"poets,novelists,educators,civil rights workers",https://en.wikipedia.org/wiki/The_Color_Purple,NA_not-pub-domain
115,Northanger Abbey,Jane Austen,1818,English,romance,"fiction,novels","novelists,authors",https://en.wikipedia.org/wiki/Northanger_Abbey,https://www.gutenberg.org/cache/epub/121/pg121.txt
116,East of Eden,John Steinbeck,1952,English,na,literature,authors,https://en.wikipedia.org/wiki/East_of_Eden_(novel),NA_not-pub-domain
117,On the Road,Jack Kerouac,1957,English,autobio,,,https://en.wikipedia.org/wiki/On_the_Road,NA_not-pub-domain
118,Catch-22,Joseph Heller,1961,English,war,"writing,fiction,college teaching,advertising copy","teachers,novelists,fulbright scholars,college teachers,authors,actors",https://en.wikipedia.org/wiki/Catch-22,NA_not-pub-domain
119,Around the World in Eighty Days,Jules Verne,1873,French,action,"drama,voyages imaginary,science fiction,poetry,novels,action and adventure fiction","poets,novelists,authors french,playwrights",https://en.wikipedia.org/wiki/Around_the_World_in_Eighty_Days,https://www.gutenberg.org/cache/epub/103/pg103.txt
120,Hard Times,Charles Dickens,1854,English,na,english literature,"authors english,writers,novelists",https://en.wikipedia.org/wiki/Hard_Times_(novel),https://www.gutenberg.org/cache/epub/786/pg786.txt
121,Beloved,Toni Morrison,1987,English,history,"united states race relations,racism,african americans,african american women,african american girls,literature","english teachers,college teachers,novelists,authors,writers,university and college faculty members,literature teachers,english teachers of",https://en.wikipedia.org/wiki/Beloved_(novel),NA_not-pub-domain
